Odorant,Odor,SMILES representation,exactmw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR
trimethylamine,fish,CN(C)C,59.073499287999994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.228968926826138,3.24,0.17779999999999996,19.610999999999997
ethanal,"pungent, ether",CC=O,44.026214748,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.265715242269923,17.07,0.2052,11.738000000000001
methanethiol,"sulfur, gasoline, garlic",CS,48.003371128,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.894317691231276,0.0,0.546,14.910000000000002
propanal,"solvent, pungent",CCC=O,58.041864812,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.630657356666532,17.07,0.5952999999999999,16.355
pentane,alkane,CCCCC,72.093900384,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.19901948541599,0.0,2.1965000000000003,25.19899999999999
propanol,"alcohol, pungent",CCCO,60.057514876,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.26336900881878,20.23,0.3887,17.376800000000003
dimethylsulfide,"cabbage, sulfur, gasoline",CSC,62.019021192,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2273031675914,0.0,0.9792,19.438999999999997
ethylformate,pungent,CCOC=O,74.036779432,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.744202586173408,26.3,0.17930000000000001,17.689999999999998
methylethylketone,ether,CCC(C)=O,72.057514876,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.995599471063137,17.07,0.9854,20.971999999999994
methylethylsulfide,"sulfur, garlic",CCSC,76.034671256,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.592245281988006,0.0,1.3693,24.05599999999999
hexane,alkane,CCCCCC,86.109550448,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.563961599812586,0.0,2.5866000000000007,29.81599999999998
ethylacetate,pineapple,CCOC(C)=O,88.052429496,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.10914470057002,26.3,0.5694,22.30699999999999
methylbutenol,herb,CCC=C(C)O,86.07316494,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.303650205427736,20.23,1.8582,26.67679999999999
pentanone,ether,CCCC(C)=O,86.07316494,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.36054158545974,17.07,1.3755,25.588999999999988
isobutanol,"wine, solvent, bitter",CC(C)CO,74.07316494,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.62831112321538,20.23,0.6347,21.923799999999996
trans-crotonaldehyde,flower,C/C=C/C=O,70.041864812,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.305996438878882,17.07,0.7614000000000001,20.877999999999993
methylpentanone,mint,CCCC(=O)CC,100.088815004,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.725483699856355,17.07,1.7656,30.20599999999998
methylbutanal,"cocoa, almond",CCC(C)C=O,86.07316494,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.36054158545974,17.07,1.2314,25.518999999999988
methylbutanal,malt,CCC(C)C=O,86.07316494,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.36054158545974,17.07,1.2314,25.518999999999988
pyrrolidine,alkaline,C1CCNC1,71.073499288,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,32.37810840109819,12.03,0.36979999999999996,22.103699999999996
ethanol,sweet,CCO,46.041864812,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.89842689442217,20.23,-0.0014000000000000123,12.759800000000002
thiophene,garlic,s1cccc1,84.003371128,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.07176638990846,0.0,1.7481,24.318999999999996
propanoicacid,"pungent, rancid, soy",CCC(O)=O,74.036779432,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.42489110886254,37.3,0.481,17.9268
diacetyl,butter,CC(=O)C(C)=O,86.036779432,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1571215711069,34.14,0.1644000000000001,21.36199999999999
methylmethylbutanoate,apple,CCC(C)(C)C([O-])=O,115.07645317191,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.51971745205236,40.129999999999995,0.17249999999999988,29.078999999999983
butanol,"medicine, fruit",CCCCO,74.07316494,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.62831112321538,20.23,0.7787999999999999,21.993799999999997
butanol,wine,CCCCO,74.07316494,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.62831112321538,20.23,0.7787999999999999,21.993799999999997
mercaptoacetaldehyde,cabbage,SCC=O,75.998285748,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.420781905671646,17.07,0.11509999999999998,19.916999999999998
butanal,"pungent, green",CCCC=O,72.057514876,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.99559947106314,17.07,0.9854,20.971999999999994
pentenone,"fish, pungent",CC=CC(C)=O,84.057514876,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.670938553275484,17.07,1.1515,25.49499999999999
methylmethylpropanoate,flower,CC(C)(C)C([O-])=O,101.06080310791,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.15477533765576,40.129999999999995,-0.21760000000000024,24.46199999999999
methylthiocyanate,sulfur,CSC#N,72.998620096,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.61988284906012,23.79,0.8304799999999999,19.127999999999997
"2,3-pentadione","cream, butter",CCC(=O)C(C)=O,100.052429496,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.52206368550351,34.14,0.5545,25.97899999999999
pentenol,"butter, pungent",CCCC=CO,86.07316494,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.303650205427736,20.23,1.8582,26.67679999999999
butyricacid,"rancid, cheese, sweat",CCCC(O)=O,88.052429496,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.78983322325915,37.3,0.8711,22.543799999999994
hexanone,"ether, grape",CCCCC(C)=O,100.088815004,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.72548369985635,17.07,1.7656,30.20599999999998
"alpha,gamma-dimethylallylalcohol","green, vinyl",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ethylpropionate,fruit,CCOC(=O)CC,102.06807956,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47408681496662,26.3,0.9595,26.923999999999985
heptane,alkane,CCCCCCC,100.12520051199999,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.92890371420919,0.0,2.976700000000002,34.432999999999986
acetoin,"butter, cream",CC(O)C(C)=O,88.052429496,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.78983322325915,37.3,-0.043800000000000006,22.361799999999995
methylbutanoate,"ether, fruit, sweet",CCCC(=O)OC,102.06807956,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47408681496663,26.3,0.9595,26.923999999999985
aceticacid,sour,CC(O)=O,60.021129368000004,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.059948994465934,37.3,0.09089999999999993,13.309800000000001
diethylacetal,"fruit, cream",CCOC(C)OCC,118.099379688,2.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.791052058826345,18.46,1.4054,32.713999999999984
2-methyl-1-butanol,malt,CCC(C)CO,88.088815004,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.99325323761199,20.23,1.0248,26.54079999999999
dimethyldisulfide,"onion, cabbage, putrid",CSSC,93.991092192,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7503752793063,0.0,1.6274,27.029999999999994
hexanone,ether,CCCCC(C)=O,100.088815004,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.72548369985635,17.07,1.7656,30.20599999999998
