No.	NAME	MW	AMW	Sv	Se	Sp	Si	Mv	Me	Mp	Mi	GD	nAT	nSK	nTA	nBT	nBO	nBM	SCBO	RBN	RBF	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	max_conj_path	nStructures	totalcharge
1	trimethylamine	59.13	4.54846153846154	6.1286	12.6362	7.0513	15.1591	0.471430769230769	0.972015384615385	0.542407692307692	1.16608461538462	0.5	13	4	3	12	3	0	3	0	0	0	0	0	9	3	1	0	0	0	0	0	0	0	0	0	1	0	69.2307692307692	23.0769230769231	7.69230769230769	0	0	3	0	0	0	1	0
2	ethanal	44.06	6.29428571428571	3.7684	7.0945	3.9773	8.0398	0.538342857142857	1.0135	0.568185714285714	1.14854285714286	0.666666666666667	7	3	2	6	2	1	3	0	0	1	0	0	4	2	0	1	0	0	0	0	0	0	0	0	1	0	57.1428571428571	28.5714285714286	0	14.2857142857143	0	1	1	0	0	1	0
3	methanethiol	48.12	8.02	3.2407	5.8436	4.1705	6.7504	0.540116666666667	0.973933333333333	0.695083333333333	1.12506666666667	1	6	2	2	5	1	0	1	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	1	1	0	66.6666666666667	16.6666666666667	0	0	0	1	0	0	0	1	0
4	propanal	58.09	5.809	5.2952	9.9781	5.7387	11.455	0.52952	0.99781	0.57387	1.1455	0.5	10	4	2	9	3	1	4	1	0.111111111111111	1	0	0	6	3	0	1	0	0	0	0	0	0	0	0	1	0	60	30	0	10	0	2	1	0	0	1	0
5	pentane	72.17	4.24529411764706	8.1608	16.3016	9.5684	19.4912	0.480047058823529	0.958917647058824	0.562847058823529	1.14654117647059	0.4	17	5	2	16	4	0	4	2	0.125	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	70.5882352941177	29.4117647058824	0	0	0	5	0	0	0	1	0
6	propanol	60.11	5.00916666666667	5.822	11.8617	6.5001	13.8702	0.485166666666667	0.988475	0.541675	1.15585	0.5	12	4	2	11	3	0	3	1	0.0909090909090909	0	0	0	8	3	0	1	0	0	0	0	0	0	0	0	1	0	66.6666666666667	25	0	8.33333333333333	0	3	0	0	0	1	0
7	dimethylsulfide	62.15	6.90555555555555	4.7675	8.7272	5.9319	10.1656	0.529722222222222	0.969688888888889	0.6591	1.12951111111111	0.666666666666667	9	3	2	8	2	0	2	0	0	0	0	0	6	2	0	0	0	1	0	0	0	0	0	1	1	0	66.6666666666667	22.2222222222222	0	0	0	2	0	0	0	1	0
8	ethylformate	74.09	6.73545454545455	6.01	11.3054	6.1932	12.6644	0.546363636363636	1.02776363636364	0.563018181818182	1.15130909090909	0.4	11	5	2	10	4	1	5	2	0.2	1	0	0	6	3	0	2	0	0	0	0	0	0	0	0	2	0	54.5454545454545	27.2727272727273	0	18.1818181818182	0	2	1	0	0	1	0
9	methylethylketone	72.12	5.54769230769231	6.822	12.8617	7.5001	14.8702	0.524769230769231	0.989361538461539	0.576930769230769	1.14386153846154	0.4	13	5	3	12	4	1	5	1	0.0833333333333333	1	0	0	8	4	0	1	0	0	0	0	0	0	0	0	1	0	61.5384615384615	30.7692307692308	0	7.69230769230769	0	3	1	0	0	1	0
10	methylethylsulfide	76.18	6.34833333333334	6.2943	11.6108	7.6933	13.5808	0.524525	0.967566666666667	0.641108333333333	1.13173333333333	0.5	12	4	2	11	3	0	3	1	0.0909090909090909	0	0	0	8	3	0	0	0	1	0	0	0	0	0	1	1	0	66.6666666666667	25	0	0	0	3	0	0	0	1	0
